date,country,net_purchases_t
2026-06-01,Poland,5.45
2026-07-01,Poland,1.15
2026-08-01,Poland,3.97
2021-01-01,Turkey,10.72
2021-02-01,Turkey,5.48
2021-03-01,Turkey,1.17
2021-04-01,Turkey,2.5
2021-05-01,Turkey,8.02
2021-06-01,Turkey,11.7
2021-07-01,Turkey,9.51
2021-08-01,Turkey,3.85
2021-09-01,Turkey,0.9
2021-10-01,Turkey,3.89
2021-11-01,Turkey,9.55
2021-12-01,Turkey,11.69
2022-01-01,Turkey,7.98
2022-02-01,Turkey,2.47
2022-03-01,Turkey,1.18
2022-04-01,Turkey,5.52
2022-05-01,Turkey,10.75
2022-06-01,Turkey,11.15
2022-07-01,Turkey,6.29
2022-08-01,Turkey,1.47
2022-09-01,Turkey,1.97
2022-10-01,Turkey,7.24
2022-11-01,Turkey,11.51
2022-12-01,Turkey,10.13
2023-01-01,Turkey,4.6
2023-02-01,Turkey,0.96
2023-03-01,Turkey,3.2
2023-04-01,Turkey,8.86
2023-05-01,Turkey,11.76
2023-06-01,Turkey,8.73
2023-07-01,Turkey,3.08
2023-08-01,Turkey,0.98
2023-09-01,Turkey,4.73
2023-10-01,Turkey,10.23
2023-11-01,Turkey,11.47
2023-12-01,Turkey,7.09
2024-01-01,Turkey,1.89
2024-02-01,Turkey,1.54
2024-03-01,Turkey,6.43
2024-04-01,Turkey,11.21
2024-05-01,Turkey,10.67
2024-06-01,Turkey,5.38
2024-07-01,Turkey,1.14
2024-08-01,Turkey,2.57
2024-09-01,Turkey,8.12
2024-10-01,Turkey,11.71
2024-11-01,Turkey,9.43
2024-12-01,Turkey,3.76
2025-01-01,Turkey,0.91
2025-02-01,Turkey,3.98
2025-03-01,Turkey,9.62
2025-04-01,Turkey,11.67
2025-05-01,Turkey,7.89
2025-06-01,Turkey,2.4
2025-07-01,Turkey,1.21
2025-08-01,Turkey,5.62
2025-09-01,Turkey,10.81
2025-10-01,Turkey,11.1
2025-11-01,Turkey,6.19
2025-12-01,Turkey,1.43
2026-01-01,Turkey,2.03
2026-02-01,Turkey,7.33
2026-03-01,Turkey,11.54
2026-04-01,Turkey,10.06
2026-05-01,Turkey,4.51
2026-06-01,Turkey,0.95
2026-07-01,Turkey,3.28
2026-08-01,Turkey,8.94
2021-01-01,India,4.9
2021-02-01,India,1.04
2021-03-01,India,2.24
2021-04-01,India,7.18
2021-05-01,India,10.47
2021-06-01,India,8.51
2021-07-01,India,3.44
2021-08-01,India,0.81
2021-09-01,India,3.48
2021-10-01,India,8.54
2021-11-01,India,10.46
2021-12-01,India,7.14
2022-01-01,India,2.21
2022-02-01,India,1.06
2022-03-01,India,4.94
2022-04-01,India,9.62
2022-05-01,India,9.98
2022-06-01,India,5.62
2022-07-01,India,1.32
2022-08-01,India,1.77
2022-09-01,India,6.48
2022-10-01,India,10.3
2022-11-01,India,9.06
2022-12-01,India,4.11
2023-01-01,India,0.86
2023-02-01,India,2.86
2023-03-01,India,7.93
2023-04-01,India,10.52
2023-05-01,India,7.81
2023-06-01,India,2.76
2023-07-01,India,0.88
2023-08-01,India,4.24
2023-09-01,India,9.15
2023-10-01,India,10.26
2023-11-01,India,6.35
2023-12-01,India,1.69
2024-01-01,India,1.38
2024-02-01,India,5.75
2024-03-01,India,10.03
2024-04-01,India,9.54
2024-05-01,India,4.82
2024-06-01,India,1.02
2024-07-01,India,2.3
2024-08-01,India,7.26
2024-09-01,India,10.48
2024-10-01,India,8.44
2024-11-01,India,3.37
2024-12-01,India,0.81
2025-01-01,India,3.56
2025-02-01,India,8.61
2025-03-01,India,10.44
2025-04-01,India,7.06
2025-05-01,India,2.15
2025-06-01,India,1.09
2025-07-01,India,5.03
2025-08-01,India,9.67
2025-09-01,India,9.94
2025-10-01,India,5.54
2025-11-01,India,1.28
2025-12-01,India,1.82
2026-01-01,India,6.56
2026-02-01,India,10.33
2026-03-01,India,9.0
2026-04-01,India,4.03
2026-05-01,India,0.85
2026-06-01,India,2.93
2026-07-01,India,8.0
2026-08-01,India,10.52
2021-01-01,Iraq,0.37
2021-02-01,Iraq,0.79
2021-03-01,Iraq,2.53
2021-04-01,Iraq,3.69
2021-05-01,Iraq,3.0
2021-06-01,Iraq,1.22
2021-07-01,Iraq,0.29
2021-08-01,Iraq,1.23
2021-09-01,Iraq,3.01
2021-10-01,Iraq,3.69
2021-11-01,Iraq,2.52
2021-12-01,Iraq,0.78
2022-01-01,Iraq,0.37
2022-02-01,Iraq,1.74
2022-03-01,Iraq,3.39
2022-04-01,Iraq,3.52
2022-05-01,Iraq,1.98
2022-06-01,Iraq,0.47
2022-07-01,Iraq,0.62
2022-08-01,Iraq,2.29
2022-09-01,Iraq,3.64
2022-10-01,Iraq,3.2
2022-11-01,Iraq,1.45
2022-12-01,Iraq,0.3
2023-01-01,Iraq,1.01
2023-02-01,Iraq,2.8
2023-03-01,Iraq,3.71
2023-04-01,Iraq,2.76
2023-05-01,Iraq,0.97
2023-06-01,Iraq,0.31
2023-07-01,Iraq,1.49
2023-08-01,Iraq,3.23
2023-09-01,Iraq,3.62
2023-10-01,Iraq,2.24
2023-11-01,Iraq,0.6
2023-12-01,Iraq,0.49
2024-01-01,Iraq,2.03
2024-02-01,Iraq,3.54
2024-03-01,Iraq,3.37
2024-04-01,Iraq,1.7
2024-05-01,Iraq,0.36
2024-06-01,Iraq,0.81
2024-07-01,Iraq,2.56
2024-08-01,Iraq,3.7
2024-09-01,Iraq,2.98
2024-10-01,Iraq,1.19
2024-11-01,Iraq,0.29
2024-12-01,Iraq,1.26
2025-01-01,Iraq,3.04
2025-02-01,Iraq,3.69
2025-03-01,Iraq,2.49
2025-04-01,Iraq,0.76
2025-05-01,Iraq,0.38
2025-06-01,Iraq,1.77
2025-07-01,Iraq,3.41
2025-08-01,Iraq,3.51
2025-09-01,Iraq,1.95
2025-10-01,Iraq,0.45
2025-11-01,Iraq,0.64
2025-12-01,Iraq,2.32
2026-01-01,Iraq,3.64
2026-02-01,Iraq,3.18
2026-03-01,Iraq,1.42
2026-04-01,Iraq,0.3
2026-05-01,Iraq,1.03
2026-06-01,Iraq,2.82
2026-07-01,Iraq,3.71
2026-08-01,Iraq,2.73
2021-01-01,Kazakhstan,0.72
2021-02-01,Kazakhstan,2.32
2021-03-01,Kazakhstan,3.39
2021-04-01,Kazakhstan,2.75
2021-05-01,Kazakhstan,1.11
2021-06-01,Kazakhstan,0.26
2021-07-01,Kazakhstan,1.13
2021-08-01,Kazakhstan,2.76
2021-09-01,Kazakhstan,3.38
2021-10-01,Kazakhstan,2.31
2021-11-01,Kazakhstan,0.71
2021-12-01,Kazakhstan,0.34
2022-01-01,Kazakhstan,1.6
2022-02-01,Kazakhstan,3.11
2022-03-01,Kazakhstan,3.23
2022-04-01,Kazakhstan,1.82
2022-05-01,Kazakhstan,0.43
2022-06-01,Kazakhstan,0.57
2022-07-01,Kazakhstan,2.09
2022-08-01,Kazakhstan,3.33
2022-09-01,Kazakhstan,2.93
2022-10-01,Kazakhstan,1.33
2022-11-01,Kazakhstan,0.28
2022-12-01,Kazakhstan,0.93
2023-01-01,Kazakhstan,2.56
2023-02-01,Kazakhstan,3.4
2023-03-01,Kazakhstan,2.53
2023-04-01,Kazakhstan,0.89
2023-05-01,Kazakhstan,0.29
2023-06-01,Kazakhstan,1.37
2023-07-01,Kazakhstan,2.96
2023-08-01,Kazakhstan,3.32
2023-09-01,Kazakhstan,2.05
2023-10-01,Kazakhstan,0.55
2023-11-01,Kazakhstan,0.45
2023-12-01,Kazakhstan,1.86
2024-01-01,Kazakhstan,3.25
2024-02-01,Kazakhstan,3.09
2024-03-01,Kazakhstan,1.56
2024-04-01,Kazakhstan,0.33
2024-05-01,Kazakhstan,0.74
2024-06-01,Kazakhstan,2.35
2024-07-01,Kazakhstan,3.39
2024-08-01,Kazakhstan,2.73
2024-09-01,Kazakhstan,1.09
2024-10-01,Kazakhstan,0.26
2024-11-01,Kazakhstan,1.15
2024-12-01,Kazakhstan,2.79
2025-01-01,Kazakhstan,3.38
2025-02-01,Kazakhstan,2.28
2025-03-01,Kazakhstan,0.7
2025-04-01,Kazakhstan,0.35
2025-05-01,Kazakhstan,1.63
2025-06-01,Kazakhstan,3.13
2025-07-01,Kazakhstan,3.21
2025-08-01,Kazakhstan,1.79
2025-09-01,Kazakhstan,0.41
2025-10-01,Kazakhstan,0.59
2025-11-01,Kazakhstan,2.12
2025-12-01,Kazakhstan,3.34
2026-01-01,Kazakhstan,2.91
2026-02-01,Kazakhstan,1.3
2026-03-01,Kazakhstan,0.27
2026-04-01,Kazakhstan,0.95
2026-05-01,Kazakhstan,2.59
2026-06-01,Kazakhstan,3.4
2026-07-01,Kazakhstan,2.5
2026-08-01,Kazakhstan,0.87
2021-01-01,Uzbekistan,1.9
2021-02-01,Uzbekistan,2.77
2021-03-01,Uzbekistan,2.25
2021-04-01,Uzbekistan,0.91
2021-05-01,Uzbekistan,0.21
2021-06-01,Uzbekistan,0.92
2021-07-01,Uzbekistan,2.26
2021-08-01,Uzbekistan,2.77
2021-09-01,Uzbekistan,1.89
2021-10-01,Uzbekistan,0.58
2021-11-01,Uzbekistan,0.28
2021-12-01,Uzbekistan,1.31
2022-01-01,Uzbekistan,2.55
2022-02-01,Uzbekistan,2.64
2022-03-01,Uzbekistan,1.49
2022-04-01,Uzbekistan,0.35
2022-05-01,Uzbekistan,0.47
2022-06-01,Uzbekistan,1.71
2022-07-01,Uzbekistan,2.73
2022-08-01,Uzbekistan,2.4
2022-09-01,Uzbekistan,1.09
2022-10-01,Uzbekistan,0.23
2022-11-01,Uzbekistan,0.76
2022-12-01,Uzbekistan,2.1
2023-01-01,Uzbekistan,2.79
2023-02-01,Uzbekistan,2.07
2023-03-01,Uzbekistan,0.73
2023-04-01,Uzbekistan,0.23
2023-05-01,Uzbekistan,1.12
2023-06-01,Uzbekistan,2.42
2023-07-01,Uzbekistan,2.72
2023-08-01,Uzbekistan,1.68
2023-09-01,Uzbekistan,0.45
2023-10-01,Uzbekistan,0.36
2023-11-01,Uzbekistan,1.52
2023-12-01,Uzbekistan,2.66
2024-01-01,Uzbekistan,2.53
2024-02-01,Uzbekistan,1.27
2024-03-01,Uzbekistan,0.27
2024-04-01,Uzbekistan,0.61
2024-05-01,Uzbekistan,1.92
2024-06-01,Uzbekistan,2.77
2024-07-01,Uzbekistan,2.23
2024-08-01,Uzbekistan,0.89
2024-09-01,Uzbekistan,0.21
2024-10-01,Uzbekistan,0.94
2024-11-01,Uzbekistan,2.28
2024-12-01,Uzbekistan,2.76
2025-01-01,Uzbekistan,1.87
2025-02-01,Uzbekistan,0.57
2025-03-01,Uzbekistan,0.29
2025-04-01,Uzbekistan,1.33
2025-05-01,Uzbekistan,2.56
2025-06-01,Uzbekistan,2.63
2025-07-01,Uzbekistan,1.47
2025-08-01,Uzbekistan,0.34
2025-09-01,Uzbekistan,0.48
2025-10-01,Uzbekistan,1.74
2025-11-01,Uzbekistan,2.73
2025-12-01,Uzbekistan,2.38
2026-01-01,Uzbekistan,1.07
2026-02-01,Uzbekistan,0.22
2026-03-01,Uzbekistan,0.78
2026-04-01,Uzbekistan,2.12
2026-05-01,Uzbekistan,2.79
2026-06-01,Uzbekistan,2.05
2026-07-01,Uzbekistan,0.71
2026-08-01,Uzbekistan,0.24
2021-01-01,Czechia,2.15
2021-02-01,Czechia,1.75
2021-03-01,Czechia,0.71
2021-04-01,Czechia,0.17
2021-05-01,Czechia,0.72
2021-06-01,Czechia,1.76
2021-07-01,Czechia,2.15
2021-08-01,Czechia,1.47
2021-09-01,Czechia,0.45
2021-10-01,Czechia,0.22
2021-11-01,Czechia,1.02
2021-12-01,Czechia,1.98
2022-01-01,Czechia,2.05
2022-02-01,Czechia,1.16
2022-03-01,Czechia,0.27
2022-04-01,Czechia,0.36
2022-05-01,Czechia,1.33
2022-06-01,Czechia,2.12
2022-07-01,Czechia,1.87
2022-08-01,Czechia,0.85
2022-09-01,Czechia,0.18
2022-10-01,Czechia,0.59
2022-11-01,Czechia,1.63
2022-12-01,Czechia,2.17
2023-01-01,Czechia,1.61
2023-02-01,Czechia,0.57
2023-03-01,Czechia,0.18
2023-04-01,Czechia,0.87
2023-05-01,Czechia,1.88
2023-06-01,Czechia,2.11
2023-07-01,Czechia,1.31
2023-08-01,Czechia,0.35
2023-09-01,Czechia,0.28
2023-10-01,Czechia,1.18
2023-11-01,Czechia,2.07
2023-12-01,Czechia,1.96
2024-01-01,Czechia,0.99
2024-02-01,Czechia,0.21
2024-03-01,Czechia,0.47
2024-04-01,Czechia,1.49
2024-05-01,Czechia,2.16
2024-06-01,Czechia,1.74
2024-07-01,Czechia,0.69
2024-08-01,Czechia,0.17
2024-09-01,Czechia,0.73
2024-10-01,Czechia,1.77
2024-11-01,Czechia,2.15
2024-12-01,Czechia,1.45
2025-01-01,Czechia,0.44
2025-02-01,Czechia,0.22
2025-03-01,Czechia,1.04
2025-04-01,Czechia,1.99
2025-05-01,Czechia,2.05
2025-06-01,Czechia,1.14
2025-07-01,Czechia,0.26
2025-08-01,Czechia,0.37
2025-09-01,Czechia,1.35
2025-10-01,Czechia,2.13
2025-11-01,Czechia,1.85
2025-12-01,Czechia,0.83
2026-01-01,Czechia,0.17
2026-02-01,Czechia,0.6
2026-03-01,Czechia,1.65
2026-04-01,Czechia,2.17
2026-05-01,Czechia,1.59
2026-06-01,Czechia,0.55
2026-07-01,Czechia,0.18
2026-08-01,Czechia,0.89
2021-01-01,Singapore,1.25
2021-02-01,Singapore,0.51
2021-03-01,Singapore,0.12
2021-04-01,Singapore,0.51
2021-05-01,Singapore,1.26
2021-06-01,Singapore,1.54
2021-07-01,Singapore,1.05
2021-08-01,Singapore,0.32
2021-09-01,Singapore,0.16
2021-10-01,Singapore,0.73
2021-11-01,Singapore,1.41
2021-12-01,Singapore,1.47
2022-01-01,Singapore,0.83
2022-02-01,Singapore,0.19
2022-03-01,Singapore,0.26
2022-04-01,Singapore,0.95
2022-05-01,Singapore,1.51
2022-06-01,Singapore,1.33
2022-07-01,Singapore,0.6
2022-08-01,Singapore,0.13
2022-09-01,Singapore,0.42
2022-10-01,Singapore,1.17
2022-11-01,Singapore,1.55
2022-12-01,Singapore,1.15
2023-01-01,Singapore,0.41
2023-02-01,Singapore,0.13
2023-03-01,Singapore,0.62
2023-04-01,Singapore,1.35
2023-05-01,Singapore,1.51
2023-06-01,Singapore,0.93
2023-07-01,Singapore,0.25
2023-08-01,Singapore,0.2
2023-09-01,Singapore,0.85
2023-10-01,Singapore,1.48
2023-11-01,Singapore,1.4
2023-12-01,Singapore,0.71
2024-01-01,Singapore,0.15
2024-02-01,Singapore,0.34
2024-03-01,Singapore,1.07
2024-04-01,Singapore,1.54
2024-05-01,Singapore,1.24
2024-06-01,Singapore,0.5
2024-07-01,Singapore,0.12
2024-08-01,Singapore,0.52
2024-09-01,Singapore,1.27
2024-10-01,Singapore,1.54
2024-11-01,Singapore,1.04
2024-12-01,Singapore,0.32
2025-01-01,Singapore,0.16
2025-02-01,Singapore,0.74
2025-03-01,Singapore,1.42
2025-04-01,Singapore,1.46
2025-05-01,Singapore,0.81
2025-06-01,Singapore,0.19
2025-07-01,Singapore,0.27
2025-08-01,Singapore,0.96
2025-09-01,Singapore,1.52
2025-10-01,Singapore,1.32
2025-11-01,Singapore,0.59
2025-12-01,Singapore,0.12
2026-01-01,Singapore,0.43
2026-02-01,Singapore,1.18
2026-03-01,Singapore,1.55
2026-04-01,Singapore,1.14
2026-05-01,Singapore,0.4
2026-06-01,Singapore,0.13
2026-07-01,Singapore,0.63
2026-08-01,Singapore,1.35
2021-01-01,Thailand,0.46
2021-02-01,Thailand,0.11
2021-03-01,Thailand,0.46
2021-04-01,Thailand,1.13
2021-05-01,Thailand,1.38
2021-06-01,Thailand,0.94
2021-07-01,Thailand,0.29
2021-08-01,Thailand,0.14
2021-09-01,Thailand,0.65
2021-10-01,Thailand,1.27
2021-11-01,Thailand,1.32
2021-12-01,Thailand,0.74
2022-01-01,Thailand,0.17
2022-02-01,Thailand,0.23
2022-03-01,Thailand,0.86
2022-04-01,Thailand,1.36
2022-05-01,Thailand,1.2
2022-06-01,Thailand,0.54
2022-07-01,Thailand,0.11
2022-08-01,Thailand,0.38
2022-09-01,Thailand,1.05
2022-10-01,Thailand,1.39
2022-11-01,Thailand,1.03
2022-12-01,Thailand,0.36
2023-01-01,Thailand,0.12
2023-02-01,Thailand,0.56
2023-03-01,Thailand,1.21
2023-04-01,Thailand,1.36
2023-05-01,Thailand,0.84
2023-06-01,Thailand,0.22
2023-07-01,Thailand,0.18
2023-08-01,Thailand,0.76
2023-09-01,Thailand,1.33
2023-10-01,Thailand,1.26
2023-11-01,Thailand,0.64
2023-12-01,Thailand,0.13
2024-01-01,Thailand,0.3
2024-02-01,Thailand,0.96
2024-03-01,Thailand,1.39
2024-04-01,Thailand,1.12
2024-05-01,Thailand,0.45
2024-06-01,Thailand,0.11
2024-07-01,Thailand,0.47
2024-08-01,Thailand,1.14
2024-09-01,Thailand,1.38
2024-10-01,Thailand,0.93
2024-11-01,Thailand,0.28
2024-12-01,Thailand,0.14
2025-01-01,Thailand,0.67
2025-02-01,Thailand,1.28
2025-03-01,Thailand,1.31
2025-04-01,Thailand,0.73
2025-05-01,Thailand,0.17
2025-06-01,Thailand,0.24
2025-07-01,Thailand,0.87
2025-08-01,Thailand,1.37
2025-09-01,Thailand,1.19
2025-10-01,Thailand,0.53
2025-11-01,Thailand,0.11
2025-12-01,Thailand,0.39
2026-01-01,Thailand,1.06
2026-02-01,Thailand,1.39
2026-03-01,Thailand,1.02
2026-04-01,Thailand,0.36
2026-05-01,Thailand,0.12
2026-06-01,Thailand,0.57
2026-07-01,Thailand,1.22
2026-08-01,Thailand,1.35
2021-01-01,Qatar,0.1
2021-02-01,Qatar,0.41
2021-03-01,Qatar,1.0
2021-04-01,Qatar,1.23
2021-05-01,Qatar,0.84
2021-06-01,Qatar,0.26
2021-07-01,Qatar,0.12
2021-08-01,Qatar,0.58
2021-09-01,Qatar,1.13
2021-10-01,Qatar,1.17
2021-11-01,Qatar,0.66
2021-12-01,Qatar,0.16
2022-01-01,Qatar,0.21
2022-02-01,Qatar,0.76
2022-03-01,Qatar,1.21
2022-04-01,Qatar,1.07
2022-05-01,Qatar,0.48
2022-06-01,Qatar,0.1
2022-07-01,Qatar,0.34
2022-08-01,Qatar,0.93
2022-09-01,Qatar,1.24
2022-10-01,Qatar,0.92
2022-11-01,Qatar,0.32
2022-12-01,Qatar,0.1
2023-01-01,Qatar,0.5
2023-02-01,Qatar,1.08
2023-03-01,Qatar,1.21
2023-04-01,Qatar,0.75
2023-05-01,Qatar,0.2
2023-06-01,Qatar,0.16
2023-07-01,Qatar,0.68
2023-08-01,Qatar,1.18
2023-09-01,Qatar,1.12
2023-10-01,Qatar,0.57
2023-11-01,Qatar,0.12
2023-12-01,Qatar,0.27
2024-01-01,Qatar,0.85
2024-02-01,Qatar,1.23
2024-03-01,Qatar,0.99
2024-04-01,Qatar,0.4
2024-05-01,Qatar,0.1
2024-06-01,Qatar,0.42
2024-07-01,Qatar,1.01
2024-08-01,Qatar,1.23
2024-09-01,Qatar,0.83
2024-10-01,Qatar,0.25
2024-11-01,Qatar,0.13
2024-12-01,Qatar,0.59
2025-01-01,Qatar,1.14
2025-02-01,Qatar,1.17
2025-03-01,Qatar,0.65
2025-04-01,Qatar,0.15
2025-05-01,Qatar,0.21
2025-06-01,Qatar,0.77
2025-07-01,Qatar,1.21
2025-08-01,Qatar,1.06
2025-09-01,Qatar,0.47
2025-10-01,Qatar,0.1
2025-11-01,Qatar,0.34
2025-12-01,Qatar,0.94
2026-01-01,Qatar,1.24
2026-02-01,Qatar,0.91
2026-03-01,Qatar,0.32
2026-04-01,Qatar,0.11
2026-05-01,Qatar,0.51
2026-06-01,Qatar,1.08
2026-07-01,Qatar,1.2
2026-08-01,Qatar,0.74
2021-01-01,Hungary,0.31
2021-02-01,Hungary,0.75
2021-03-01,Hungary,0.92
2021-04-01,Hungary,0.63
2021-05-01,Hungary,0.19
2021-06-01,Hungary,0.09
2021-07-01,Hungary,0.44
2021-08-01,Hungary,0.85
2021-09-01,Hungary,0.88
2021-10-01,Hungary,0.5
2021-11-01,Hungary,0.12
2021-12-01,Hungary,0.16
2022-01-01,Hungary,0.57
2022-02-01,Hungary,0.91
2022-03-01,Hungary,0.8
2022-04-01,Hungary,0.36
2022-05-01,Hungary,0.08
2022-06-01,Hungary,0.25
2022-07-01,Hungary,0.7
2022-08-01,Hungary,0.93
2022-09-01,Hungary,0.69
2022-10-01,Hungary,0.24
2022-11-01,Hungary,0.08
2022-12-01,Hungary,0.37
2023-01-01,Hungary,0.81
2023-02-01,Hungary,0.91
2023-03-01,Hungary,0.56
2023-04-01,Hungary,0.15
2023-05-01,Hungary,0.12
2023-06-01,Hungary,0.51
2023-07-01,Hungary,0.89
2023-08-01,Hungary,0.84
2023-09-01,Hungary,0.42
2023-10-01,Hungary,0.09
2023-11-01,Hungary,0.2
2023-12-01,Hungary,0.64
2024-01-01,Hungary,0.92
2024-02-01,Hungary,0.74
2024-03-01,Hungary,0.3
2024-04-01,Hungary,0.07
2024-05-01,Hungary,0.31
2024-06-01,Hungary,0.76
2024-07-01,Hungary,0.92
2024-08-01,Hungary,0.62
2024-09-01,Hungary,0.19
2024-10-01,Hungary,0.1
2024-11-01,Hungary,0.44
2024-12-01,Hungary,0.85
2025-01-01,Hungary,0.88
2025-02-01,Hungary,0.49
2025-03-01,Hungary,0.11
2025-04-01,Hungary,0.16
2025-05-01,Hungary,0.58
2025-06-01,Hungary,0.91
2025-07-01,Hungary,0.79
2025-08-01,Hungary,0.36
2025-09-01,Hungary,0.07
2025-10-01,Hungary,0.26
2025-11-01,Hungary,0.71
2025-12-01,Hungary,0.93
2026-01-01,Hungary,0.68
2026-02-01,Hungary,0.24
2026-03-01,Hungary,0.08
2026-04-01,Hungary,0.38
2026-05-01,Hungary,0.81
2026-06-01,Hungary,0.9
2026-07-01,Hungary,0.55
2026-08-01,Hungary,0.14
2021-01-01,Serbia,0.63
2021-02-01,Serbia,0.77
2021-03-01,Serbia,0.52
2021-04-01,Serbia,0.16
2021-05-01,Serbia,0.08
2021-06-01,Serbia,0.36
2021-07-01,Serbia,0.71
2021-08-01,Serbia,0.73
2021-09-01,Serbia,0.41
2021-10-01,Serbia,0.1
2021-11-01,Serbia,0.13
2021-12-01,Serbia,0.48
2022-01-01,Serbia,0.76
2022-02-01,Serbia,0.67
2022-03-01,Serbia,0.3
2022-04-01,Serbia,0.06
2022-05-01,Serbia,0.21
2022-06-01,Serbia,0.58
2022-07-01,Serbia,0.77
2022-08-01,Serbia,0.57
2022-09-01,Serbia,0.2
2022-10-01,Serbia,0.06
2022-11-01,Serbia,0.31
2022-12-01,Serbia,0.67
2023-01-01,Serbia,0.75
2023-02-01,Serbia,0.47
2023-03-01,Serbia,0.12
2023-04-01,Serbia,0.1
2023-05-01,Serbia,0.42
2023-06-01,Serbia,0.74
2023-07-01,Serbia,0.7
2023-08-01,Serbia,0.35
2023-09-01,Serbia,0.07
2023-10-01,Serbia,0.17
2023-11-01,Serbia,0.53
2023-12-01,Serbia,0.77
2024-01-01,Serbia,0.62
2024-02-01,Serbia,0.25
2024-03-01,Serbia,0.06
2024-04-01,Serbia,0.26
2024-05-01,Serbia,0.63
2024-06-01,Serbia,0.77
2024-07-01,Serbia,0.52
2024-08-01,Serbia,0.16
2024-09-01,Serbia,0.08
2024-10-01,Serbia,0.37
2024-11-01,Serbia,0.71
2024-12-01,Serbia,0.73
2025-01-01,Serbia,0.41
2025-02-01,Serbia,0.09
2025-03-01,Serbia,0.13
2025-04-01,Serbia,0.48
2025-05-01,Serbia,0.76
2025-06-01,Serbia,0.66
2025-07-01,Serbia,0.3
2025-08-01,Serbia,0.06
2025-09-01,Serbia,0.22
2025-10-01,Serbia,0.59
2025-11-01,Serbia,0.77
2025-12-01,Serbia,0.57
2026-01-01,Serbia,0.2
