date,destination,tonnes
2021-07-01,UK + US,13.8
2021-08-01,UK + US,16.9
2021-09-01,UK + US,16.6
2021-10-01,UK + US,12.7
2021-11-01,UK + US,8.9
2021-12-01,UK + US,8.5
2022-01-01,UK + US,11.6
2022-02-01,UK + US,14.7
2022-03-01,UK + US,14.4
2022-04-01,UK + US,10.5
2022-05-01,UK + US,6.7
2022-06-01,UK + US,6.4
2022-07-01,UK + US,9.5
2022-08-01,UK + US,12.6
2022-09-01,UK + US,12.2
2022-10-01,UK + US,8.4
2022-11-01,UK + US,4.5
2022-12-01,UK + US,4.7
2023-01-01,UK + US,8.3
2023-02-01,UK + US,12.0
2023-03-01,UK + US,12.1
2023-04-01,UK + US,8.8
2023-05-01,UK + US,5.5
2023-06-01,UK + US,5.7
2023-07-01,UK + US,9.3
2023-08-01,UK + US,13.0
2023-09-01,UK + US,13.1
2023-10-01,UK + US,9.8
2023-11-01,UK + US,6.5
2023-12-01,UK + US,6.7
2024-01-01,UK + US,10.3
2024-02-01,UK + US,14.0
2024-03-01,UK + US,14.1
2024-04-01,UK + US,10.8
2024-05-01,UK + US,7.5
2024-06-01,UK + US,7.7
2024-07-01,UK + US,11.3
2024-08-01,UK + US,15.0
2024-09-01,UK + US,15.1
2024-10-01,UK + US,11.8
2024-11-01,UK + US,8.5
2024-12-01,UK + US,34.5
2025-01-01,UK + US,64.0
2025-02-01,UK + US,50.5
2025-03-01,UK + US,33.5
2025-04-01,UK + US,28.7
2025-05-01,UK + US,23.9
2025-06-01,UK + US,22.5
2025-07-01,UK + US,27.1
2025-08-01,UK + US,31.7
2025-09-01,UK + US,32.9
2025-10-01,UK + US,30.6
2025-11-01,UK + US,28.3
2025-12-01,UK + US,29.4
2026-01-01,UK + US,34.0
2026-02-01,UK + US,38.3
2026-03-01,UK + US,39.2
2026-04-01,UK + US,36.6
2026-05-01,UK + US,34.0
2026-06-01,UK + US,34.8
2026-07-01,UK + US,39.1
2026-08-01,UK + US,43.5
2021-01-01,other,14.0
2021-02-01,other,15.5
2021-03-01,other,16.1
2021-04-01,other,15.6
2021-05-01,other,14.3
2021-06-01,other,12.9
2021-07-01,other,12.4
2021-08-01,other,13.1
2021-09-01,other,14.5
2021-10-01,other,16.0
2021-11-01,other,16.7
2021-12-01,other,16.1
2022-01-01,other,14.8
2022-02-01,other,13.5
2022-03-01,other,12.9
2022-04-01,other,13.6
2022-05-01,other,15.1
2022-06-01,other,16.5
2022-07-01,other,17.2
2022-08-01,other,16.7
2022-09-01,other,15.3
2022-10-01,other,14.0
2022-11-01,other,13.5
2022-12-01,other,14.1
2023-01-01,other,15.6
2023-02-01,other,17.1
2023-03-01,other,17.7
2023-04-01,other,17.2
2023-05-01,other,15.9
2023-06-01,other,14.5
2023-07-01,other,14.0
2023-08-01,other,14.6
2023-09-01,other,16.1
2023-10-01,other,17.6
2023-11-01,other,18.2
2023-12-01,other,17.7
2024-01-01,other,16.3
2024-02-01,other,15.0
2024-03-01,other,14.4
2024-04-01,other,15.1
2024-05-01,other,16.5
2024-06-01,other,18.0
2024-07-01,other,18.6
2024-08-01,other,18.1
2024-09-01,other,16.8
2024-10-01,other,15.4
2024-11-01,other,14.9
2024-12-01,other,15.5
2025-01-01,other,17.0
2025-02-01,other,18.4
2025-03-01,other,19.1
2025-04-01,other,18.5
2025-05-01,other,17.2
2025-06-01,other,15.8
2025-07-01,other,15.3
2025-08-01,other,15.9
2025-09-01,other,17.4
2025-10-01,other,18.9
2025-11-01,other,19.5
2025-12-01,other,19.0
2026-01-01,other,17.6
2026-02-01,other,16.3
2026-03-01,other,15.7
2026-04-01,other,16.4
2026-05-01,other,17.8
2026-06-01,other,19.3
2026-07-01,other,19.9
2026-08-01,other,19.4
